""	"Axis1"	"Axis2"	"Axis3"	"sample_type"
"HMP2_J28647_1_ST_T0_B0_0120_ZY7IW45-2012_AVTWA"	1.69107502966213	-0.115244395814783	-0.97044730719348	"IR"
"HMP2_J28648_1_ST_T0_B0_0120_ZY7IW45-2013_AVTWA"	-0.372097993878767	0.594008416393088	1.50159764468087	"IR"
"HMP2_J28649_1_ST_T0_B0_0120_ZY7IW45-2015_AVTWA"	0.156490724743701	0.205641177021243	2.39668277692369	"IR"
"HMP2_J28655_1_ST_T0_B0_0120_ZX52KVK-2012_AVTWA"	0.615524764139954	-0.592893651733486	1.30196027900519	"IR"
"HMP2_J28656_1_ST_T0_B0_0120_ZX52KVK-2013_AVTWA"	0.629597096933158	-0.798997449012117	1.42662830395297	"IR"
"HMP2_J28657_1_ST_T0_B0_0120_ZX52KVK-2014_AVTWA"	-0.0808000113973045	-0.750555860502854	2.42733612064636	"IR"
"HMP2_J28658_1_ST_T0_B0_0120_ZX52KVK-2015_AVTWA"	0.376316432511694	-0.248849059233835	2.50677604554141	"IR"
"HMP2_J28659_1_ST_T0_B0_0120_ZX52KVK-2022-AL1_AVTWA"	1.29591136729149	-0.591715676162496	1.12124737043097	"IR"
"HMP2_J28660_1_ST_T0_B0_0120_ZX52KVK-2023_AVTWA"	0.56985323388434	0.630029962266505	1.02709179140497	"IR"
"HMP2_J28661_1_ST_T0_B0_0120_ZLTUJTN-2014_AVTWA"	0.775906315102955	-0.591599755330741	1.15320541728543	"IR"
"HMP2_J28662_1_ST_T0_B0_0120_ZLTUJTN-2015_AVTWA"	1.40855402647059	-0.600686750560265	0.758087921859205	"IR"
"HMP2_J28663_1_ST_T0_B0_0120_ZL63I8R-2012_AVTWA"	1.51404482512133	-0.689979537985942	0.843628611262254	"IR"
"HMP2_J28664_1_ST_T0_B0_0120_ZL63I8R-2013_AVTWA"	1.49375192593459	-0.741960474964225	0.635401197006377	"IR"
"HMP2_J28665_1_ST_T0_B0_0120_ZL63I8R-2014_AVTWA"	1.98995462175805	-0.770405841793162	0.13564153304399	"IR"
"HMP2_J28666_1_ST_T0_B0_0120_ZL63I8R-2015_AVTWA"	0.900793405434397	-0.35055840866729	1.30941063337953	"IR"
"HMP2_J28667_1_ST_T0_B0_0120_ZKVR426-2012_AVTWA"	1.22652263157462	-0.557689426064425	1.190468111272	"IR"
"HMP2_J28668_1_ST_T0_B0_0120_ZKVR426-2013_AVTWA"	1.80393020092697	-0.644329876396024	0.0914476563398917	"IR"
"HMP2_J28669_1_ST_T0_B0_0120_ZKVR426-2014_AVTWA"	0.401425635112409	-0.120869396100966	2.98952237786378	"IR"
"HMP2_J28670_1_ST_T0_B0_0120_ZKVR426-2015_AVTWA"	2.26955792814997	-1.04231805378064	-0.876587953398209	"IR"
"HMP2_J43804_1_ST_T0_B0_0120_ZLZNCLZ-06_ANBEN"	1.51016998180055	-0.176798228595071	-0.0797660973973395	"IS"
"HMP2_J43805_1_ST_T0_B0_0120_ZLZNCLZ-08_ANBEN"	-0.996017136125923	2.22158897632908	0.585571808903514	"IS"
"HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN"	0.354532408756004	1.4402892563069	0.307362401885335	"IS"
"HMP2_J43807_1_ST_T0_B0_0120_ZLZNCLZ-1032_ANBEN"	0.442495826628846	0.195100469024678	2.05991563117307	"IS"
"HMP2_J43808_1_ST_T0_B0_0120_ZLZNCLZ-1033_ANBEN"	0.720239087832617	0.149872678180595	1.71469702353769	"IS"
"HMP2_J43809_1_ST_T0_B0_0120_ZLZNCLZ-1035_ANBEN"	0.228155412866436	0.289896907510733	2.12462416709574	"IS"
"HMP2_J43810_1_ST_T0_B0_0120_ZLZNCLZ-1036_ANBEN"	0.355897260043908	1.31328735372298	-0.207318342142753	"IS"
"HMP2_J43821_1_ST_T0_B0_0120_ZX52KVK-04_ANBEN"	0.793166285644972	0.215630979861138	-0.185116562856216	"IR"
"HMP2_J43823_1_ST_T0_B0_0120_ZX52KVK-1021_ANBEN"	1.33411558875609	-0.819822177586807	-0.371358371641381	"IR"
"HMP2_J43824_1_ST_T0_B0_0120_ZX52KVK-1022_ANBEN"	0.950587254681563	-1.79547854660523	-1.32489326477535	"IR"
"HMP2_J43825_1_ST_T0_B0_0120_ZX52KVK-1032_ANBEN"	1.53592751857602	-1.00826503277406	0.0294421498572743	"IR"
"HMP2_J43826_1_ST_T0_B0_0120_ZX52KVK-1033_ANBEN"	1.06620431500029	-0.493588971356521	1.2400332688927	"IR"
"HMP2_J43827_1_ST_T0_B0_0120_ZVBQY1N-01_ANBEN"	1.24208322797477	-0.451815661539914	0.993013782363995	"IR"
"HMP2_J43828_1_ST_T0_B0_0120_ZVBQY1N-1014_ANBEN"	2.00347545662709	-0.792595911379839	-0.255679672972174	"IR"
"HMP2_J43829_1_ST_T0_B0_0120_ZVBQY1N-1015_ANBEN"	1.75048649857303	-0.735002725350247	0.497898962672393	"IR"
"HMP2_J43830_1_ST_T0_B0_0120_ZVBQY1N-1021_ANBEN"	1.48248246357105	-0.560274610257454	1.19476011934361	"IR"
"HMP2_J43831_1_ST_T0_B0_0120_ZVBQY1N-1022_ANBEN"	1.94268497054957	-0.550179127916518	0.064803976017822	"IR"
"HMP2_J43833_1_ST_T0_B0_0120_ZVBQY1N-1024_ANBEN"	1.35724789980068	-0.58709295398221	1.56010449008669	"IR"
"HMP2_J43834_1_ST_T0_B0_0120_ZVBQY1N-1025_ANBEN"	1.51459430218214	-0.398840669799165	0.772538168614874	"IR"
"HMP2_J43835_1_ST_T0_B0_0120_ZVBQY1N-6011_ANBEN"	1.03871250853592	-0.394232505126783	2.07323214481372	"IR"
"HMP2_J45079_1_ST_T0_B0_0120_ZN3TBJM-2035_APAJ2"	1.464523010779	-0.391278486293172	0.963388867800531	"IS"
"HMP2_J45083_1_ST_T0_B0_0120_ZLZNCLZ-11_APAJ2"	1.17364214085092	-0.139017002799434	1.22511398810119	"IS"
"HMP2_J45087_1_ST_T0_B0_0120_ZY7IW45-07_APAJ2"	0.654302552639187	-0.0597213805717543	0.344873116349372	"IR"
"HMP2_J45088_1_ST_T0_B0_0120_ZX52KVK-2025_APAJ2"	1.87433888749709	-0.939985525857565	-0.241349431743284	"IR"
"HMP2_J45092_1_ST_T0_B0_0120_ZWCZHHY-07_APAJ2"	1.12093359618227	0.30297334308536	-0.738376638734138	"IR"
"HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2"	1.87512103050713	-0.581828637174912	0.315837904644148	"IR"
"HMP2_J45094_1_ST_T0_B0_0120_ZYXQKWY-06_APAJ2"	0.746543253398604	-0.156864634291278	0.495028757473099	"IR"
"HMP2_J45097_1_ST_T0_B0_0120_ZV14SIB-05_APAJ2"	2.43699929410037	-0.909872446048521	-1.4530726501282	"IS"
"HMP2_J45098_1_ST_T0_B0_0120_ZUPAQVU-04_APAJ2"	1.51620900781912	-0.536487507087829	0.693796486806491	"IR"
"HMP2_J45099_1_ST_T0_B0_0120_ZUPAQVU-07_APAJ2"	0.868984996803046	-0.278732573931581	1.85350210758087	"IR"
"HMP2_J45100_1_ST_T0_B0_0120_ZUL3S6O-2012_APAJ2"	1.0843963939318	-0.249534701879863	1.45984312433732	"IS"
"HMP2_J45101_1_ST_T0_B0_0120_ZUL3S6O-2013_APAJ2"	1.06578972195462	0.00516415902191739	0.92524995950482	"IS"
