SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
nHILIC_181.0367_6.8	1485604.05	329843.5973	521573.9526	1148157.844
nHILIC_181.0506_6.2	769707.4429	1126566.2	773207.7421	502617.1556
nHILIC_188.0023_1.6	1476401.429	1310573.958	339798.3942	802403.6489
nHILIC_188.0716_2.1	1083845.743	1776143	128560351.1	5261437.444
nHILIC_188.9862_0.9	2700567.975	442050.7123	4566635.076	1176421.649
nHILIC_191.0197_11.2	25902943.57	41704579.33	30802962.63	32962925.56
nHILIC_191.0561_8.5	3379892.929	382883.6753	146096.0205	1378748.8
nHILIC_195.051_8.7	1555786.214	2116881.673	1478183.172	1701380.111
nHILIC_197.0678_4.1	1894520.929	418353.5468	562943.2663	1346958.489
nHILIC_197.0679_1.4	2239026.343	841711.07	1907117.226	1831138.956
nHILIC_204.0665_5.1	402416.7357	485108.5267	780479.5789	439531.8222
nHILIC_209.0302_11	205268.2236	234228.6537	148597.3668	303367.9922
nHILIC_212.0022_3	31610398.57	14899995.33	24480930	10807556.33
nHILIC_214.0488_7.2	403566.6429	617703.08	549136.8263	372616.6778
nHILIC_218.1032_6.5	380528.9429	1266828.787	385135.2105	583106.8889
nHILIC_224.0617_4.8	2417845.679	1473146.653	1110417.9	3418612.979
nHILIC_235.0723_6.5	62194.62429	365492.5933	47165.95632	29577.70444
nHILIC_238.0929_7.3	302548.2143	356128.107	396866.8316	238143.6667
nHILIC_239.0164_12.1	5451355.929	8683954.2	5301747.947	2559637.444
nHILIC_243.0621_3.4	14352136.43	23195396	16958570	12939243.22
nHILIC_243.0621_5.8	3939993.5	4240142.533	3667080.474	3545147.778
nHILIC_257.0777_2.2	1350146.429	1580228.133	1152891.789	1430694
nHILIC_274.1407_12.3	290308.1	268729.5933	312728.9842	208218.1889
