HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB01008	-3267.607859	78024.93643	-0.211131883	0.833517611	0.954702795	-4.595119897
HMDB00205	2742.107541	168679.1171	0.19989572	0.842254898	0.958812017	-4.595119898
HMDB10392	-6867.897256	414861.0115	-0.195260249	0.845865339	0.958812017	-4.595119898
HMDB37844	-2688.36578	113956.7408	-0.194862808	0.846175051	0.958812017	-4.595119898
HMDB04400	-62524.10962	2032769.979	-0.191265945	0.848979062	0.958812017	-4.595119898
HMDB00430	-913.6473881	53309.72722	-0.186431213	0.852751162	0.958961925	-4.595119898
HMDB10404	81854.40006	4513647.169	0.17089454	0.86489599	0.958961925	-4.595119898
HMDB11171	-664.3245123	54787.23429	-0.168730217	0.866590485	0.958961925	-4.595119898
HMDB10357	-13993.54207	235101.8481	-0.167998855	0.867163226	0.958961925	-4.595119898
HMDB11493	1072.81472	48721.30827	0.167889216	0.867249093	0.958961925	-4.595119898
HMDB29159	-19159.64676	2943735.532	-0.166758059	0.868135079	0.958961925	-4.595119898
HMDB00192	-65039.2342	5083456.672	-0.161411385	0.872325173	0.958961925	-4.595119898
HMDB10386	-619973.3404	61529589.88	-0.159569837	0.873769219	0.958961925	-4.595119898
HMDB61677	-5197.896359	123116.7576	-0.152090508	0.879638503	0.958961925	-4.595119898
HMDB01043	6009.505524	328483.4524	0.146122087	0.884327016	0.958961925	-4.595119898
HMDB11531	-291.8898009	18168.71194	-0.14581976	0.884564622	0.958961925	-4.595119898
HMDB10397	75209.88641	4521086.674	0.144622201	0.885505916	0.958961925	-4.595119898
HMDB01868	9521.616987	293588.3846	0.141821696	0.887707789	0.958961925	-4.595119898
HMDB12097	-89020.1697	7455825.941	-0.129359248	0.897516824	0.963905355	-4.595119899
HMDB61677	187636.6545	2704936.565	0.128425594	0.898252358	0.963905355	-4.595119899
HMDB02203	2436.493467	215494.5428	0.116664575	0.907525176	0.970631231	-4.595119899
HMDB02829	-3003.358019	191730.3481	-0.09682659	0.923194837	0.976155159	-4.595119899
HMDB12107	-56623.4478	8827325.603	-0.096262674	0.923640741	0.976155159	-4.595119899
HMDB10738	-2441.757709	162631.2308	-0.094775495	0.924816813	0.976155159	-4.595119899
HMDB00062	2408.316829	585089.6074	0.093685317	0.92567904	0.976155159	-4.595119899
HMDB00019	-46410.40074	13028284.93	-0.091003195	0.927800724	0.976155159	-4.595119899
